"package","installs_display","skills_sh_url","queries","install_command","repository_metadata_checked","status"
"nerdneilsfield/dotfiles@deai","1","https://skills.sh/nerdneilsfield/dotfiles/deai","deai","npx skills add nerdneilsfield/dotfiles@deai","false","原始检索候选；含误命中、重复谱系及相邻领域，不等同推荐"
"doutianbao/academic-deai@academic-deai","1","https://skills.sh/doutianbao/academic-deai/academic-deai","deai","npx skills add doutianbao/academic-deai@academic-deai","false","原始检索候选；含误命中、重复谱系及相邻领域，不等同推荐"
"zh4men9/academic-deai@academic-deai","1","https://skills.sh/zh4men9/academic-deai/academic-deai","deai","npx skills add zh4men9/academic-deai@academic-deai","false","原始检索候选；含误命中、重复谱系及相邻领域，不等同推荐"
"kayquer/deai-text@deai-text","1","https://skills.sh/kayquer/deai-text/deai-text","deai","npx skills add kayquer/deai-text@deai-text","false","原始检索候选；含误命中、重复谱系及相邻领域，不等同推荐"
"leonxlnx/taste-skill@design-taste-frontend","447.5K","https://skills.sh/leonxlnx/taste-skill/design-taste-frontend","taste","npx skills add leonxlnx/taste-skill@design-taste-frontend","true","原始检索候选；含误命中、重复谱系及相邻领域，不等同推荐"
"leonxlnx/taste-skill@high-end-visual-design","331.2K","https://skills.sh/leonxlnx/taste-skill/high-end-visual-design","taste","npx skills add leonxlnx/taste-skill@high-end-visual-design","true","原始检索候选；含误命中、重复谱系及相邻领域，不等同推荐"
"leonxlnx/taste-skill@redesign-existing-projects","327.5K","https://skills.sh/leonxlnx/taste-skill/redesign-existing-projects","taste","npx skills add leonxlnx/taste-skill@redesign-existing-projects","true","原始检索候选；含误命中、重复谱系及相邻领域，不等同推荐"
"leonxlnx/taste-skill@minimalist-ui","304K","https://skills.sh/leonxlnx/taste-skill/minimalist-ui","taste","npx skills add leonxlnx/taste-skill@minimalist-ui","true","原始检索候选；含误命中、重复谱系及相邻领域，不等同推荐"
"leonxlnx/taste-skill@full-output-enforcement","289.9K","https://skills.sh/leonxlnx/taste-skill/full-output-enforcement","taste","npx skills add leonxlnx/taste-skill@full-output-enforcement","true","原始检索候选；含误命中、重复谱系及相邻领域，不等同推荐"
"leonxlnx/taste-skill@industrial-brutalist-ui","283.5K","https://skills.sh/leonxlnx/taste-skill/industrial-brutalist-ui","taste","npx skills add leonxlnx/taste-skill@industrial-brutalist-ui","true","原始检索候选；含误命中、重复谱系及相邻领域，不等同推荐"
"leonxlnx/taste-skill@gpt-taste","282.2K","https://skills.sh/leonxlnx/taste-skill/gpt-taste","taste","npx skills add leonxlnx/taste-skill@gpt-taste","true","原始检索候选；含误命中、重复谱系及相邻领域，不等同推荐"
"leonxlnx/taste-skill@stitch-design-taste","282K","https://skills.sh/leonxlnx/taste-skill/stitch-design-taste","taste","npx skills add leonxlnx/taste-skill@stitch-design-taste","true","原始检索候选；含误命中、重复谱系及相邻领域，不等同推荐"
"leonxlnx/taste-skill@brandkit","272.2K","https://skills.sh/leonxlnx/taste-skill/brandkit","taste","npx skills add leonxlnx/taste-skill@brandkit","true","原始检索候选；含误命中、重复谱系及相邻领域，不等同推荐"
"leonxlnx/taste-skill@image-to-code","267.3K","https://skills.sh/leonxlnx/taste-skill/image-to-code","taste","npx skills add leonxlnx/taste-skill@image-to-code","true","原始检索候选；含误命中、重复谱系及相邻领域，不等同推荐"
"leonxlnx/taste-skill@imagegen-frontend-web","265.7K","https://skills.sh/leonxlnx/taste-skill/imagegen-frontend-web","taste","npx skills add leonxlnx/taste-skill@imagegen-frontend-web","true","原始检索候选；含误命中、重复谱系及相邻领域，不等同推荐"
"leonxlnx/taste-skill@imagegen-frontend-mobile","260.5K","https://skills.sh/leonxlnx/taste-skill/imagegen-frontend-mobile","taste","npx skills add leonxlnx/taste-skill@imagegen-frontend-mobile","true","原始检索候选；含误命中、重复谱系及相邻领域，不等同推荐"
"leonxlnx/taste-skill@design-taste-frontend-v1","218.5K","https://skills.sh/leonxlnx/taste-skill/design-taste-frontend-v1","taste","npx skills add leonxlnx/taste-skill@design-taste-frontend-v1","true","原始检索候选；含误命中、重复谱系及相邻领域，不等同推荐"
"google-labs-code/stitch-skills@taste-design","17.3K","https://skills.sh/google-labs-code/stitch-skills/taste-design","taste","npx skills add google-labs-code/stitch-skills@taste-design","false","原始检索候选；含误命中、重复谱系及相邻领域，不等同推荐"
"leonxlnx/taste-skill@image-taste-frontend","3.7K","https://skills.sh/leonxlnx/taste-skill/image-taste-frontend","taste","npx skills add leonxlnx/taste-skill@image-taste-frontend","true","原始检索候选；含误命中、重复谱系及相邻领域，不等同推荐"
"affaan-m/ecc@taste","3K","https://skills.sh/affaan-m/ecc/taste","taste","npx skills add affaan-m/ecc@taste","false","原始检索候选；含误命中、重复谱系及相邻领域，不等同推荐"
"refoundai/lenny-skills@product-taste-intuition","1.7K","https://skills.sh/refoundai/lenny-skills/product-taste-intuition","taste","npx skills add refoundai/lenny-skills@product-taste-intuition","false","原始检索候选；含误命中、重复谱系及相邻领域，不等同推荐"
"nexu-io/open-design@taste-skill","815","https://skills.sh/nexu-io/open-design/taste-skill","taste","npx skills add nexu-io/open-design@taste-skill","false","原始检索候选；含误命中、重复谱系及相邻领域，不等同推荐"
"cristicretu/family-taste-skill@design-with-taste","704","https://skills.sh/cristicretu/family-taste-skill/design-with-taste","taste","npx skills add cristicretu/family-taste-skill@design-with-taste","false","原始检索候选；含误命中、重复谱系及相邻领域，不等同推荐"
"senlindesign/taste-skill@taste","252","https://skills.sh/senlindesign/taste-skill/taste","taste","npx skills add senlindesign/taste-skill@taste","false","原始检索候选；含误命中、重复谱系及相邻领域，不等同推荐"
"uizze.com@anti-ui-slop","692.6K","https://skills.sh/uizze.com/anti-ui-slop","anti slop; stop slop","npx skills add uizze.com@anti-ui-slop","false","原始检索候选；含误命中、重复谱系及相邻领域，不等同推荐"
"dmmulroy/anti-slop@install-anti-slop","6.4K","https://skills.sh/dmmulroy/anti-slop/install-anti-slop","anti slop","npx skills add dmmulroy/anti-slop@install-anti-slop","true","原始检索候选；含误命中、重复谱系及相邻领域，不等同推荐"
"miqdadbadjuber/anti-slop@antislop","628","https://skills.sh/miqdadbadjuber/anti-slop/antislop","anti slop","npx skills add miqdadbadjuber/anti-slop@antislop","true","原始检索候选；含误命中、重复谱系及相邻领域，不等同推荐"
"miqdadbadjuber/anti-slop@antislop-ui","619","https://skills.sh/miqdadbadjuber/anti-slop/antislop-ui","anti slop","npx skills add miqdadbadjuber/anti-slop@antislop-ui","true","原始检索候选；含误命中、重复谱系及相邻领域，不等同推荐"
"rand/cc-polymath@anti-slop","615","https://skills.sh/rand/cc-polymath/anti-slop","anti slop; no ai slop","npx skills add rand/cc-polymath@anti-slop","true","原始检索候选；含误命中、重复谱系及相邻领域，不等同推荐"
"miqdadbadjuber/anti-slop@antislop-copywriting","589","https://skills.sh/miqdadbadjuber/anti-slop/antislop-copywriting","anti slop","npx skills add miqdadbadjuber/anti-slop@antislop-copywriting","true","原始检索候选；含误命中、重复谱系及相邻领域，不等同推荐"
"miqdadbadjuber/anti-slop@antislop-human","555","https://skills.sh/miqdadbadjuber/anti-slop/antislop-human","anti slop","npx skills add miqdadbadjuber/anti-slop@antislop-human","true","原始检索候选；含误命中、重复谱系及相邻领域，不等同推荐"
"miqdadbadjuber/anti-slop@antislop-layoutmobile","550","https://skills.sh/miqdadbadjuber/anti-slop/antislop-layoutmobile","anti slop","npx skills add miqdadbadjuber/anti-slop@antislop-layoutmobile","true","原始检索候选；含误命中、重复谱系及相邻领域，不等同推荐"
"github/awesome-copilot@anti-ui-slop","514","https://skills.sh/github/awesome-copilot/anti-ui-slop","anti slop; stop slop","npx skills add github/awesome-copilot@anti-ui-slop","true","原始检索候选；含误命中、重复谱系及相邻领域，不等同推荐"
"miqdadbadjuber/anti-slop@antislop-code","479","https://skills.sh/miqdadbadjuber/anti-slop/antislop-code","anti slop","npx skills add miqdadbadjuber/anti-slop@antislop-code","true","原始检索候选；含误命中、重复谱系及相邻领域，不等同推荐"
"jalaalrd/anti-ai-slop-writing@anti-ai-slop-writing","448","https://skills.sh/jalaalrd/anti-ai-slop-writing/anti-ai-slop-writing","anti slop","npx skills add jalaalrd/anti-ai-slop-writing@anti-ai-slop-writing","true","原始检索候选；含误命中、重复谱系及相邻领域，不等同推荐"
"smithery.ai@anti-slop","392","https://skills.sh/smithery.ai/anti-slop","anti slop; no ai slop","npx skills add smithery.ai@anti-slop","false","原始检索候选；含误命中、重复谱系及相邻领域，不等同推荐"
"davepoon/buildwithclaude@anti-ui-slop","181","https://skills.sh/davepoon/buildwithclaude/anti-ui-slop","anti slop","npx skills add davepoon/buildwithclaude@anti-ui-slop","false","原始检索候选；含误命中、重复谱系及相邻领域，不等同推荐"
"elithrar/dotfiles@anti-slop","99","https://skills.sh/elithrar/dotfiles/anti-slop","anti slop","npx skills add elithrar/dotfiles@anti-slop","true","原始检索候选；含误命中、重复谱系及相邻领域，不等同推荐"
"adenaufal/anti-slop-writing@anti-slop-writing","82","https://skills.sh/adenaufal/anti-slop-writing/anti-slop-writing","anti slop","npx skills add adenaufal/anti-slop-writing@anti-slop-writing","true","原始检索候选；含误命中、重复谱系及相邻领域，不等同推荐"
"b4r7x/agent-skills@anti-slop","69","https://skills.sh/b4r7x/agent-skills/anti-slop","anti slop","npx skills add b4r7x/agent-skills@anti-slop","true","原始检索候选；含误命中、重复谱系及相邻领域，不等同推荐"
"aplaceforallmystuff/the-antislop@antislop","57","https://skills.sh/aplaceforallmystuff/the-antislop/antislop","anti slop","npx skills add aplaceforallmystuff/the-antislop@antislop","true","原始检索候选；含误命中、重复谱系及相邻领域，不等同推荐"
"adewale/anti-slop-writing@anti-slop-writing","46","https://skills.sh/adewale/anti-slop-writing/anti-slop-writing","anti slop","npx skills add adewale/anti-slop-writing@anti-slop-writing","true","原始检索候选；含误命中、重复谱系及相邻领域，不等同推荐"
"iuliandita/skills@anti-slop","35","https://skills.sh/iuliandita/skills/anti-slop","anti slop","npx skills add iuliandita/skills@anti-slop","true","原始检索候选；含误命中、重复谱系及相邻领域，不等同推荐"
"gesso-build/skills@anti-slop","20","https://skills.sh/gesso-build/skills/anti-slop","anti slop","npx skills add gesso-build/skills@anti-slop","true","原始检索候选；含误命中、重复谱系及相邻领域，不等同推荐"
"hardikpandya/stop-slop@stop-slop","13.4K","https://skills.sh/hardikpandya/stop-slop/stop-slop","stop slop","npx skills add hardikpandya/stop-slop@stop-slop","true","原始检索候选；含误命中、重复谱系及相邻领域，不等同推荐"
"uizze.com@ui-slop-score","2.1K","https://skills.sh/uizze.com/ui-slop-score","stop slop","npx skills add uizze.com@ui-slop-score","false","原始检索候选；含误命中、重复谱系及相邻领域，不等同推荐"
"jssblck/agents@stop-slop","925","https://skills.sh/jssblck/agents/stop-slop","stop slop","npx skills add jssblck/agents@stop-slop","true","原始检索候选；含误命中、重复谱系及相邻领域，不等同推荐"
"ikora128/stop-ai-slop-jp@stop-ai-slop-jp","93","https://skills.sh/ikora128/stop-ai-slop-jp/stop-ai-slop-jp","stop slop","npx skills add ikora128/stop-ai-slop-jp@stop-ai-slop-jp","true","原始检索候选；含误命中、重复谱系及相邻领域，不等同推荐"
"benknightdark/neo-skills@neo-stop-slop","32","https://skills.sh/benknightdark/neo-skills/neo-stop-slop","stop slop","npx skills add benknightdark/neo-skills@neo-stop-slop","false","原始检索候选；含误命中、重复谱系及相邻领域，不等同推荐"
"luongnv89/skills@slop-cleanup","27","https://skills.sh/luongnv89/skills/slop-cleanup","stop slop","npx skills add luongnv89/skills@slop-cleanup","false","原始检索候选；含误命中、重复谱系及相邻领域，不等同推荐"
"alfredolopez80/multi-agent-ralph-loop@stop-slop","17","https://skills.sh/alfredolopez80/multi-agent-ralph-loop/stop-slop","stop slop","npx skills add alfredolopez80/multi-agent-ralph-loop@stop-slop","false","原始检索候选；含误命中、重复谱系及相邻领域，不等同推荐"
"scottwater/skills@stop-slop","15","https://skills.sh/scottwater/skills/stop-slop","stop slop","npx skills add scottwater/skills@stop-slop","false","原始检索候选；含误命中、重复谱系及相邻领域，不等同推荐"
"drm-collab/stop-slop@stop-slop","11","https://skills.sh/drm-collab/stop-slop/stop-slop","stop slop","npx skills add drm-collab/stop-slop@stop-slop","false","原始检索候选；含误命中、重复谱系及相邻领域，不等同推荐"
"chandr3w/stop-slop@stop-slop","2","https://skills.sh/chandr3w/stop-slop/stop-slop","stop slop","npx skills add chandr3w/stop-slop@stop-slop","false","原始检索候选；含误命中、重复谱系及相邻领域，不等同推荐"
"borisov-ivan/1c-ai-development-kit-van@stop-slop","2","https://skills.sh/borisov-ivan/1c-ai-development-kit-van/stop-slop","stop slop","npx skills add borisov-ivan/1c-ai-development-kit-van@stop-slop","false","原始检索候选；含误命中、重复谱系及相邻领域，不等同推荐"
"bossjones/boss-skills@stop-slop","2","https://skills.sh/bossjones/boss-skills/stop-slop","stop slop","npx skills add bossjones/boss-skills@stop-slop","false","原始检索候选；含误命中、重复谱系及相邻领域，不等同推荐"
"allenxxxc/pm-deflavor@stop-slop","2","https://skills.sh/allenxxxc/pm-deflavor/stop-slop","stop slop","npx skills add allenxxxc/pm-deflavor@stop-slop","false","原始检索候选；含误命中、重复谱系及相邻领域，不等同推荐"
"mohamedgame/stop-slop@stop-slop","1","https://skills.sh/mohamedgame/stop-slop/stop-slop","stop slop","npx skills add mohamedgame/stop-slop@stop-slop","false","原始检索候选；含误命中、重复谱系及相邻领域，不等同推荐"
"welttowelt/stop-slop-refined@stop-slop","1","https://skills.sh/welttowelt/stop-slop-refined/stop-slop","stop slop","npx skills add welttowelt/stop-slop-refined@stop-slop","false","原始检索候选；含误命中、重复谱系及相邻领域，不等同推荐"
"amdiakhate/stop-slop@stop-slop","1","https://skills.sh/amdiakhate/stop-slop/stop-slop","stop slop","npx skills add amdiakhate/stop-slop@stop-slop","false","原始检索候选；含误命中、重复谱系及相邻领域，不等同推荐"
"arnaldo-delisio/stop-slop@stop-slop","1","https://skills.sh/arnaldo-delisio/stop-slop/stop-slop","stop slop","npx skills add arnaldo-delisio/stop-slop@stop-slop","false","原始检索候选；含误命中、重复谱系及相邻领域，不等同推荐"
"bgb-crb-holdings/stop-slop@stop-slop","1","https://skills.sh/bgb-crb-holdings/stop-slop/stop-slop","stop slop","npx skills add bgb-crb-holdings/stop-slop@stop-slop","false","原始检索候选；含误命中、重复谱系及相邻领域，不等同推荐"
"petergyang/no-ai-slop@no-ai-slop","9.9K","https://skills.sh/petergyang/no-ai-slop/no-ai-slop","no ai slop","npx skills add petergyang/no-ai-slop@no-ai-slop","true","原始检索候选；含误命中、重复谱系及相邻领域，不等同推荐"
"cursor/plugins@deslop","5.3K","https://skills.sh/cursor/plugins/deslop","no ai slop; deslop","npx skills add cursor/plugins@deslop","true","原始检索候选；含误命中、重复谱系及相邻领域，不等同推荐"
"asyrafhussin/agent-skills@code-slop","484","https://skills.sh/asyrafhussin/agent-skills/code-slop","no ai slop","npx skills add asyrafhussin/agent-skills@code-slop","false","原始检索候选；含误命中、重复谱系及相邻领域，不等同推荐"
"realrossmanngroup/no_ai_slop_writing_rules@no-ai-slop","374","https://skills.sh/realrossmanngroup/no_ai_slop_writing_rules/no-ai-slop","no ai slop","npx skills add realrossmanngroup/no_ai_slop_writing_rules@no-ai-slop","true","原始检索候选；含误命中、重复谱系及相邻领域，不等同推荐"
"mengto/skills@no-ai-design-slop","277","https://skills.sh/mengto/skills/no-ai-design-slop","no ai slop","npx skills add mengto/skills@no-ai-design-slop","true","原始检索候选；含误命中、重复谱系及相邻领域，不等同推荐"
"realrossmanngroup/no_ai_slop_writing_rules@rossmann-voice","229","https://skills.sh/realrossmanngroup/no_ai_slop_writing_rules/rossmann-voice","no ai slop","npx skills add realrossmanngroup/no_ai_slop_writing_rules@rossmann-voice","true","原始检索候选；含误命中、重复谱系及相邻领域，不等同推荐"
"huytieu/cog-second-brain@no-ai-slop","56","https://skills.sh/huytieu/cog-second-brain/no-ai-slop","no ai slop","npx skills add huytieu/cog-second-brain@no-ai-slop","false","原始检索候选；含误命中、重复谱系及相邻领域，不等同推荐"
"numen-tech/slopornot@slop-check","45","https://skills.sh/numen-tech/slopornot/slop-check","no ai slop","npx skills add numen-tech/slopornot@slop-check","true","原始检索候选；含误命中、重复谱系及相邻领域，不等同推荐"
"claudiusararu/unslop-ui-skill@no-ai-slop","18","https://skills.sh/claudiusararu/unslop-ui-skill/no-ai-slop","no ai slop","npx skills add claudiusararu/unslop-ui-skill@no-ai-slop","false","原始检索候选；含误命中、重复谱系及相邻领域，不等同推荐"
"5dive-ai/skills@no-ai-slop","14","https://skills.sh/5dive-ai/skills/no-ai-slop","no ai slop","npx skills add 5dive-ai/skills@no-ai-slop","false","原始检索候选；含误命中、重复谱系及相邻领域，不等同推荐"
"doniyor117/no-ai-slop@no-ai-slop","1","https://skills.sh/doniyor117/no-ai-slop/no-ai-slop","no ai slop","npx skills add doniyor117/no-ai-slop@no-ai-slop","false","原始检索候选；含误命中、重复谱系及相邻领域，不等同推荐"
"gsfsss/no-ai-slop@no-ai-slop","1","https://skills.sh/gsfsss/no-ai-slop/no-ai-slop","no ai slop","npx skills add gsfsss/no-ai-slop@no-ai-slop","false","原始检索候选；含误命中、重复谱系及相邻领域，不等同推荐"
"martinctc/no-ai-slop@no-ai-slop","1","https://skills.sh/martinctc/no-ai-slop/no-ai-slop","no ai slop","npx skills add martinctc/no-ai-slop@no-ai-slop","false","原始检索候选；含误命中、重复谱系及相邻领域，不等同推荐"
"xr0zv/no-ai-slop@no-ai-slop","1","https://skills.sh/xr0zv/no-ai-slop/no-ai-slop","no ai slop","npx skills add xr0zv/no-ai-slop@no-ai-slop","false","原始检索候选；含误命中、重复谱系及相邻领域，不等同推荐"
"0xvangrim/no-ai-slop@no-ai-slop","1","https://skills.sh/0xvangrim/no-ai-slop/no-ai-slop","no ai slop","npx skills add 0xvangrim/no-ai-slop@no-ai-slop","false","原始检索候选；含误命中、重复谱系及相邻领域，不等同推荐"
"awbrown/no-ai-slop@no-ai-slop","1","https://skills.sh/awbrown/no-ai-slop/no-ai-slop","no ai slop","npx skills add awbrown/no-ai-slop@no-ai-slop","false","原始检索候选；含误命中、重复谱系及相邻领域，不等同推荐"
"jamcow/no-ai-slop@no-ai-slop","1","https://skills.sh/jamcow/no-ai-slop/no-ai-slop","no ai slop","npx skills add jamcow/no-ai-slop@no-ai-slop","false","原始检索候选；含误命中、重复谱系及相邻领域，不等同推荐"
"newjordan/no-ai-slop@no-ai-slop","1","https://skills.sh/newjordan/no-ai-slop/no-ai-slop","no ai slop","npx skills add newjordan/no-ai-slop@no-ai-slop","false","原始检索候选；含误命中、重复谱系及相邻领域，不等同推荐"
"brianlovin/agent-config@deslop","3.8K","https://skills.sh/brianlovin/agent-config/deslop","deslop","npx skills add brianlovin/agent-config@deslop","true","原始检索候选；含误命中、重复谱系及相邻领域，不等同推荐"
"samber/cc-skills@frontend-design-deslop","2.2K","https://skills.sh/samber/cc-skills/frontend-design-deslop","deslop","npx skills add samber/cc-skills@frontend-design-deslop","true","原始检索候选；含误命中、重复谱系及相邻领域，不等同推荐"
"every-app/open-seo@deslop","1.4K","https://skills.sh/every-app/open-seo/deslop","deslop","npx skills add every-app/open-seo@deslop","true","原始检索候选；含误命中、重复谱系及相邻领域，不等同推荐"
"millionco/react-doctor@deslop","420","https://skills.sh/millionco/react-doctor/deslop","deslop","npx skills add millionco/react-doctor@deslop","false","原始检索候选；含误命中、重复谱系及相邻领域，不等同推荐"
"prathamdby/skills@deslop","384","https://skills.sh/prathamdby/skills/deslop","deslop","npx skills add prathamdby/skills@deslop","false","原始检索候选；含误命中、重复谱系及相邻领域，不等同推荐"
"mikecann/agent-skills@deslop","189","https://skills.sh/mikecann/agent-skills/deslop","deslop","npx skills add mikecann/agent-skills@deslop","false","原始检索候选；含误命中、重复谱系及相邻领域，不等同推荐"
"millionco/expect@deslop","174","https://skills.sh/millionco/expect/deslop","deslop","npx skills add millionco/expect@deslop","false","原始检索候选；含误命中、重复谱系及相邻领域，不等同推荐"
"stephenturner/skill-deslop@deslop","165","https://skills.sh/stephenturner/skill-deslop/deslop","deslop","npx skills add stephenturner/skill-deslop@deslop","true","原始检索候选；含误命中、重复谱系及相邻领域，不等同推荐"
"pedronauck/skills@deslop","159","https://skills.sh/pedronauck/skills/deslop","deslop","npx skills add pedronauck/skills@deslop","false","原始检索候选；含误命中、重复谱系及相邻领域，不等同推荐"
"ilamanov/skills@deslop","115","https://skills.sh/ilamanov/skills/deslop","deslop","npx skills add ilamanov/skills@deslop","false","原始检索候选；含误命中、重复谱系及相邻领域，不等同推荐"
"vincentkoc/dotskills@technical-deslop","87","https://skills.sh/vincentkoc/dotskills/technical-deslop","deslop","npx skills add vincentkoc/dotskills@technical-deslop","true","原始检索候选；含误命中、重复谱系及相邻领域，不等同推荐"
"michael-denyer/pstack-claude@deslop","86","https://skills.sh/michael-denyer/pstack-claude/deslop","deslop","npx skills add michael-denyer/pstack-claude@deslop","false","原始检索候选；含误命中、重复谱系及相邻领域，不等同推荐"
"stephenturner/skills@deslop","74","https://skills.sh/stephenturner/skills/deslop","deslop","npx skills add stephenturner/skills@deslop","false","原始检索候选；含误命中、重复谱系及相邻领域，不等同推荐"
"glaforge/deslopify@deslopify","74","https://skills.sh/glaforge/deslopify/deslopify","deslop","npx skills add glaforge/deslopify@deslopify","true","原始检索候选；含误命中、重复谱系及相邻领域，不等同推荐"
"rawkode-academy/rawkode-academy@deslop","69","https://skills.sh/rawkode-academy/rawkode-academy/deslop","deslop","npx skills add rawkode-academy/rawkode-academy@deslop","false","原始检索候选；含误命中、重复谱系及相邻领域，不等同推荐"
"agent-sh/agentsys@deslop","65","https://skills.sh/agent-sh/agentsys/deslop","deslop","npx skills add agent-sh/agentsys@deslop","false","原始检索候选；含误命中、重复谱系及相邻领域，不等同推荐"
"peteromallet/desloppify@desloppify","63","https://skills.sh/peteromallet/desloppify/desloppify","deslop","npx skills add peteromallet/desloppify@desloppify","false","原始检索候选；含误命中、重复谱系及相邻领域，不等同推荐"
"fasalzein/desloppify@desloppify","62","https://skills.sh/fasalzein/desloppify/desloppify","deslop","npx skills add fasalzein/desloppify@desloppify","false","原始检索候选；含误命中、重复谱系及相邻领域，不等同推荐"
"android/skills@styles","1.4K","https://skills.sh/android/skills/styles","voice style","npx skills add android/skills@styles","false","原始检索候选；含误命中、重复谱系及相邻领域，不等同推荐"
"jwynia/agent-skills@voice-analysis","423","https://skills.sh/jwynia/agent-skills/voice-analysis","voice style","npx skills add jwynia/agent-skills@voice-analysis","true","原始检索候选；含误命中、重复谱系及相邻领域，不等同推荐"
"simota/agent-skills@voice","187","https://skills.sh/simota/agent-skills/voice","voice style","npx skills add simota/agent-skills@voice","true","原始检索候选；含误命中、重复谱系及相邻领域，不等同推荐"
"drawcall-ai/speech@speech","109","https://skills.sh/drawcall-ai/speech/speech","voice style","npx skills add drawcall-ai/speech@speech","false","原始检索候选；含误命中、重复谱系及相邻领域，不等同推荐"
"gtmagents/gtm-agents@voice-guidelines","67","https://skills.sh/gtmagents/gtm-agents/voice-guidelines","voice style","npx skills add gtmagents/gtm-agents@voice-guidelines","false","原始检索候选；含误命中、重复谱系及相邻领域，不等同推荐"
"reactjs/react.dev@docs-voice","64","https://skills.sh/reactjs/react.dev/docs-voice","voice style","npx skills add reactjs/react.dev@docs-voice","true","原始检索候选；含误命中、重复谱系及相邻领域，不等同推荐"
"majesticlabs-dev/majestic-marketplace@brand-voice","58","https://skills.sh/majesticlabs-dev/majestic-marketplace/brand-voice","voice style","npx skills add majesticlabs-dev/majestic-marketplace@brand-voice","true","原始检索候选；含误命中、重复谱系及相邻领域，不等同推荐"
"michaelboeding/skills@audio-producer-agent","53","https://skills.sh/michaelboeding/skills/audio-producer-agent","voice style","npx skills add michaelboeding/skills@audio-producer-agent","false","原始检索候选；含误命中、重复谱系及相邻领域，不等同推荐"
"cdeistopened/skill-stack@voice-analyzer","34","https://skills.sh/cdeistopened/skill-stack/voice-analyzer","voice style","npx skills add cdeistopened/skill-stack@voice-analyzer","false","原始检索候选；含误命中、重复谱系及相邻领域，不等同推荐"
"michaelboeding/skills@voice-generation","32","https://skills.sh/michaelboeding/skills/voice-generation","voice style","npx skills add michaelboeding/skills@voice-generation","false","原始检索候选；含误命中、重复谱系及相邻领域，不等同推荐"
"cdeistopened/skill-stack@voice-pirate-wires","27","https://skills.sh/cdeistopened/skill-stack/voice-pirate-wires","voice style","npx skills add cdeistopened/skill-stack@voice-pirate-wires","false","原始检索候选；含误命中、重复谱系及相邻领域，不等同推荐"
"danishi/claude-code-config@gemini-tts","22","https://skills.sh/danishi/claude-code-config/gemini-tts","voice style","npx skills add danishi/claude-code-config@gemini-tts","false","原始检索候选；含误命中、重复谱系及相邻领域，不等同推荐"
"alexanderguy/skills@style","13","https://skills.sh/alexanderguy/skills/style","voice style","npx skills add alexanderguy/skills@style","false","原始检索候选；含误命中、重复谱系及相邻领域，不等同推荐"
"sorawit-w/agent-skills@ghostwriter","13","https://skills.sh/sorawit-w/agent-skills/ghostwriter","voice style","npx skills add sorawit-w/agent-skills@ghostwriter","false","原始检索候选；含误命中、重复谱系及相邻领域，不等同推荐"
"michael-f-bryan/skills@voice-analyzer","10","https://skills.sh/michael-f-bryan/skills/voice-analyzer","voice style","npx skills add michael-f-bryan/skills@voice-analyzer","false","原始检索候选；含误命中、重复谱系及相邻领域，不等同推荐"
"albertmartorell1975/android-ai-workflow-foundation@styles","8","https://skills.sh/albertmartorell1975/android-ai-workflow-foundation/styles","voice style","npx skills add albertmartorell1975/android-ai-workflow-foundation@styles","false","原始检索候选；含误命中、重复谱系及相邻领域，不等同推荐"
"cdeistopened/content-os@voice-pirate-wires","7","https://skills.sh/cdeistopened/content-os/voice-pirate-wires","voice style","npx skills add cdeistopened/content-os@voice-pirate-wires","false","原始检索候选；含误命中、重复谱系及相邻领域，不等同推荐"
"cniska/skills@style","7","https://skills.sh/cniska/skills/style","voice style","npx skills add cniska/skills@style","false","原始检索候选；含误命中、重复谱系及相邻领域，不等同推荐"
"reedmayhew18/claude-code-expert@voice-style","1","https://skills.sh/reedmayhew18/claude-code-expert/voice-style","voice style","npx skills add reedmayhew18/claude-code-expert@voice-style","false","原始检索候选；含误命中、重复谱系及相邻领域，不等同推荐"
"wakqasahmed/blog-writing-skills@13-editing-style-voice","1","https://skills.sh/wakqasahmed/blog-writing-skills/13-editing-style-voice","voice style","npx skills add wakqasahmed/blog-writing-skills@13-editing-style-voice","false","原始检索候选；含误命中、重复谱系及相邻领域，不等同推荐"
"pbakaus/impeccable@impeccable","263.7K","https://skills.sh/pbakaus/impeccable/impeccable","impeccable","npx skills add pbakaus/impeccable@impeccable","true","原始检索候选；含误命中、重复谱系及相邻领域，不等同推荐"
"pbakaus/impeccable@polish","87.2K","https://skills.sh/pbakaus/impeccable/polish","impeccable","npx skills add pbakaus/impeccable@polish","true","原始检索候选；含误命中、重复谱系及相邻领域，不等同推荐"
"pbakaus/impeccable@critique","84.6K","https://skills.sh/pbakaus/impeccable/critique","impeccable","npx skills add pbakaus/impeccable@critique","true","原始检索候选；含误命中、重复谱系及相邻领域，不等同推荐"
"pbakaus/impeccable@audit","83.8K","https://skills.sh/pbakaus/impeccable/audit","impeccable","npx skills add pbakaus/impeccable@audit","true","原始检索候选；含误命中、重复谱系及相邻领域，不等同推荐"
"pbakaus/impeccable@animate","83.7K","https://skills.sh/pbakaus/impeccable/animate","impeccable","npx skills add pbakaus/impeccable@animate","true","原始检索候选；含误命中、重复谱系及相邻领域，不等同推荐"
