"id","repo","url","accessible","stars","forks","fork_parent","license","pushed_at","note","skills_sh_entries","source_paths"
"76","Leonxlnx/taste-skill","https://github.com/Leonxlnx/taste-skill","true","84663","5794","","MIT","2026-08-24T15:23:56Z","UI/视觉审美方向，不能代替中文写作 skill。","leonxlnx/taste-skill@design-taste-frontend (447.5K); https://skills.sh/leonxlnx/taste-skill/design-taste-frontend; npx skills add leonxlnx/taste-skill@design-taste-frontend
leonxlnx/taste-skill@high-end-visual-design (331.2K); https://skills.sh/leonxlnx/taste-skill/high-end-visual-design; npx skills add leonxlnx/taste-skill@high-end-visual-design
leonxlnx/taste-skill@redesign-existing-projects (327.5K); https://skills.sh/leonxlnx/taste-skill/redesign-existing-projects; npx skills add leonxlnx/taste-skill@redesign-existing-projects
leonxlnx/taste-skill@minimalist-ui (304K); https://skills.sh/leonxlnx/taste-skill/minimalist-ui; npx skills add leonxlnx/taste-skill@minimalist-ui
leonxlnx/taste-skill@full-output-enforcement (289.9K); https://skills.sh/leonxlnx/taste-skill/full-output-enforcement; npx skills add leonxlnx/taste-skill@full-output-enforcement
leonxlnx/taste-skill@industrial-brutalist-ui (283.5K); https://skills.sh/leonxlnx/taste-skill/industrial-brutalist-ui; npx skills add leonxlnx/taste-skill@industrial-brutalist-ui
leonxlnx/taste-skill@gpt-taste (282.2K); https://skills.sh/leonxlnx/taste-skill/gpt-taste; npx skills add leonxlnx/taste-skill@gpt-taste
leonxlnx/taste-skill@stitch-design-taste (282K); https://skills.sh/leonxlnx/taste-skill/stitch-design-taste; npx skills add leonxlnx/taste-skill@stitch-design-taste
leonxlnx/taste-skill@brandkit (272.2K); https://skills.sh/leonxlnx/taste-skill/brandkit; npx skills add leonxlnx/taste-skill@brandkit
leonxlnx/taste-skill@image-to-code (267.3K); https://skills.sh/leonxlnx/taste-skill/image-to-code; npx skills add leonxlnx/taste-skill@image-to-code
leonxlnx/taste-skill@imagegen-frontend-web (265.7K); https://skills.sh/leonxlnx/taste-skill/imagegen-frontend-web; npx skills add leonxlnx/taste-skill@imagegen-frontend-web
leonxlnx/taste-skill@imagegen-frontend-mobile (260.5K); https://skills.sh/leonxlnx/taste-skill/imagegen-frontend-mobile; npx skills add leonxlnx/taste-skill@imagegen-frontend-mobile
leonxlnx/taste-skill@design-taste-frontend-v1 (218.5K); https://skills.sh/leonxlnx/taste-skill/design-taste-frontend-v1; npx skills add leonxlnx/taste-skill@design-taste-frontend-v1
leonxlnx/taste-skill@image-taste-frontend (3.7K); https://skills.sh/leonxlnx/taste-skill/image-taste-frontend; npx skills add leonxlnx/taste-skill@image-taste-frontend",""
"77","pbakaus/impeccable","https://github.com/pbakaus/impeccable","true","65865","4046","","Apache-2.0","2026-09-05T23:41:23Z","前端设计体系，不能代替文章润色。","pbakaus/impeccable@impeccable (263.7K); https://skills.sh/pbakaus/impeccable/impeccable; npx skills add pbakaus/impeccable@impeccable
pbakaus/impeccable@polish (87.2K); https://skills.sh/pbakaus/impeccable/polish; npx skills add pbakaus/impeccable@polish
pbakaus/impeccable@critique (84.6K); https://skills.sh/pbakaus/impeccable/critique; npx skills add pbakaus/impeccable@critique
pbakaus/impeccable@audit (83.8K); https://skills.sh/pbakaus/impeccable/audit; npx skills add pbakaus/impeccable@audit
pbakaus/impeccable@animate (83.7K); https://skills.sh/pbakaus/impeccable/animate; npx skills add pbakaus/impeccable@animate
pbakaus/impeccable@adapt (83.7K); https://skills.sh/pbakaus/impeccable/adapt; npx skills add pbakaus/impeccable@adapt
pbakaus/impeccable@clarify (83.2K); https://skills.sh/pbakaus/impeccable/clarify; npx skills add pbakaus/impeccable@clarify
pbakaus/impeccable@optimize (83K); https://skills.sh/pbakaus/impeccable/optimize; npx skills add pbakaus/impeccable@optimize
pbakaus/impeccable@colorize (82.8K); https://skills.sh/pbakaus/impeccable/colorize; npx skills add pbakaus/impeccable@colorize
pbakaus/impeccable@bolder (81.9K); https://skills.sh/pbakaus/impeccable/bolder; npx skills add pbakaus/impeccable@bolder
pbakaus/impeccable@delight (81.8K); https://skills.sh/pbakaus/impeccable/delight; npx skills add pbakaus/impeccable@delight
pbakaus/impeccable@distill (81.4K); https://skills.sh/pbakaus/impeccable/distill; npx skills add pbakaus/impeccable@distill
pbakaus/impeccable@quieter (80.5K); https://skills.sh/pbakaus/impeccable/quieter; npx skills add pbakaus/impeccable@quieter
pbakaus/impeccable@typeset (66.2K); https://skills.sh/pbakaus/impeccable/typeset; npx skills add pbakaus/impeccable@typeset
pbakaus/impeccable@overdrive (64.3K); https://skills.sh/pbakaus/impeccable/overdrive; npx skills add pbakaus/impeccable@overdrive
pbakaus/impeccable@normalize (55.8K); https://skills.sh/pbakaus/impeccable/normalize; npx skills add pbakaus/impeccable@normalize
pbakaus/impeccable@extract (54.7K); https://skills.sh/pbakaus/impeccable/extract; npx skills add pbakaus/impeccable@extract
pbakaus/impeccable@onboard (54.5K); https://skills.sh/pbakaus/impeccable/onboard; npx skills add pbakaus/impeccable@onboard
pbakaus/impeccable@harden (54.5K); https://skills.sh/pbakaus/impeccable/harden; npx skills add pbakaus/impeccable@harden
pbakaus/impeccable@teach-impeccable (51.4K); https://skills.sh/pbakaus/impeccable/teach-impeccable; npx skills add pbakaus/impeccable@teach-impeccable",""
"78","anthropics/skills","https://github.com/anthropics/skills","true","174639","20682","","","2026-09-03T16:37:14Z","官方集合；frontend-design 属 UI，相邻而非文本去味。","",""
"79","github/awesome-copilot","https://github.com/github/awesome-copilot","true","38675","4890","","MIT","2026-09-06T03:03:47Z","社区集合；finnish-humanizer 和 anti-ui-slop 分属两类。","github/awesome-copilot@finnish-humanizer (9.2K); https://skills.sh/github/awesome-copilot/finnish-humanizer; npx skills add github/awesome-copilot@finnish-humanizer
github/awesome-copilot@anti-ui-slop (514); https://skills.sh/github/awesome-copilot/anti-ui-slop; npx skills add github/awesome-copilot@anti-ui-slop","skills/anti-ui-slop/SKILL.md
skills/finnish-humanizer/SKILL.md"
"80","LearnPrompt/humanize-ppt","https://github.com/LearnPrompt/humanize-ppt","true","925","79","","NOASSERTION","2026-07-31T08:08:39Z","演示文稿大纲/叙事方向。","learnprompt/humanize-ppt@humanize-ppt (509); https://skills.sh/learnprompt/humanize-ppt/humanize-ppt; npx skills add learnprompt/humanize-ppt@humanize-ppt","SKILL.md"
"81","MengTo/Skills","https://github.com/MengTo/Skills","true","5817","695","","MIT","2026-08-28T23:38:17Z","no-ai-design-slop，UI 方向。","mengto/skills@no-ai-design-slop (277); https://skills.sh/mengto/skills/no-ai-design-slop; npx skills add mengto/skills@no-ai-design-slop",""
"82","samber/cc-skills","https://github.com/samber/cc-skills","true","203","15","","MIT","2026-09-05T01:01:11Z","frontend-design-deslop，UI 方向。","samber/cc-skills@frontend-design-deslop (2.2K); https://skills.sh/samber/cc-skills/frontend-design-deslop; npx skills add samber/cc-skills@frontend-design-deslop",""
"83","cursor/plugins","https://github.com/cursor/plugins","true","6937","581","","","2026-09-04T21:32:57Z","deslop 处理代码，排除出文章去味推荐。","cursor/plugins@deslop (5.3K); https://skills.sh/cursor/plugins/deslop; npx skills add cursor/plugins@deslop","cursor-team-kit/skills/deslop/SKILL.md
pstack/skills/principle-never-block-on-the-human/SKILL.md
pstack/skills/unslop/SKILL.md"
"84","brianlovin/agent-config","https://github.com/brianlovin/agent-config","true","364","31","","","2026-03-25T17:52:51Z","deslop 属编码配置，排除出文章去味推荐。","brianlovin/agent-config@deslop (3.8K); https://skills.sh/brianlovin/agent-config/deslop; npx skills add brianlovin/agent-config@deslop",""
"85","jssblck/agents","https://github.com/jssblck/agents","true","0","0","","GPL-3.0","2026-09-06T02:26:43Z","相关目录候选；仅核对仓库身份与简介，未做效果测试。","jssblck/agents@stop-slop (925); https://skills.sh/jssblck/agents/stop-slop; npx skills add jssblck/agents@stop-slop",""
"86","elithrar/dotfiles","https://github.com/elithrar/dotfiles","true","203","15","","MIT","2026-09-05T10:48:00Z","相关目录候选；仅核对仓库身份与简介，未做效果测试。","elithrar/dotfiles@anti-slop (99); https://skills.sh/elithrar/dotfiles/anti-slop; npx skills add elithrar/dotfiles@anti-slop",""
"87","b4r7x/agent-skills","https://github.com/b4r7x/agent-skills","true","0","0","","MIT","2026-08-06T08:38:57Z","相关目录候选；仅核对仓库身份与简介，未做效果测试。","b4r7x/agent-skills@anti-slop (69); https://skills.sh/b4r7x/agent-skills/anti-slop; npx skills add b4r7x/agent-skills@anti-slop",""
"88","iuliandita/skills","https://github.com/iuliandita/skills","true","6","0","","MIT","2026-09-04T08:09:37Z","相关目录候选；仅核对仓库身份与简介，未做效果测试。","iuliandita/skills@anti-slop (35); https://skills.sh/iuliandita/skills/anti-slop; npx skills add iuliandita/skills@anti-slop",""
"89","Gesso-Build/skills","https://github.com/Gesso-Build/skills","true","84","4","","MIT","2026-08-25T21:01:06Z","确定性设计检测，UI 方向。","gesso-build/skills@anti-slop (20); https://skills.sh/gesso-build/skills/anti-slop; npx skills add gesso-build/skills@anti-slop",""
"90","jzOcb/writing-style-skill","https://github.com/jzOcb/writing-style-skill","true","264","28","","","2026-03-24T21:52:55Z","从用户修改 diff 提取风格规则；有脚本和写文件行为。","jzocb/writing-style-skill@writing-style-skill (51); https://skills.sh/jzocb/writing-style-skill/writing-style-skill; npx skills add jzocb/writing-style-skill@writing-style-skill","SKILL.md"
"91","social-media-skills/skills","https://github.com/social-media-skills/skills","true","67","16","","MIT","2026-09-03T19:55:05Z","相关目录候选；仅核对仓库身份与简介，未做效果测试。","social-media-skills/skills@writing-style-and-tone (183); https://skills.sh/social-media-skills/skills/writing-style-and-tone; npx skills add social-media-skills/skills@writing-style-and-tone",""
"92","simota/agent-skills","https://github.com/simota/agent-skills","true","75","13","","MIT","2026-09-02T12:04:34Z","相关目录候选；仅核对仓库身份与简介，未做效果测试。","simota/agent-skills@voice (187); https://skills.sh/simota/agent-skills/voice; npx skills add simota/agent-skills@voice",""
"93","majesticlabs-dev/majestic-marketplace","https://github.com/majesticlabs-dev/majestic-marketplace","true","49","10","","NOASSERTION","2026-05-13T20:44:19Z","相关目录候选；仅核对仓库身份与简介，未做效果测试。","majesticlabs-dev/majestic-marketplace@brand-voice (58); https://skills.sh/majesticlabs-dev/majestic-marketplace/brand-voice; npx skills add majesticlabs-dev/majestic-marketplace@brand-voice",""
"94","reactjs/react.dev","https://github.com/reactjs/react.dev","true","11798","7945","","CC-BY-4.0","2026-09-03T08:11:11Z","相关目录候选；仅核对仓库身份与简介，未做效果测试。","reactjs/react.dev@docs-voice (64); https://skills.sh/reactjs/react.dev/docs-voice; npx skills add reactjs/react.dev@docs-voice",""
"95","numen-tech/slopornot","https://github.com/numen-tech/slopornot","true","46","4","","MIT","2026-07-02T19:56:07Z","相关目录候选；仅核对仓库身份与简介，未做效果测试。","numen-tech/slopornot@slop-check (45); https://skills.sh/numen-tech/slopornot/slop-check; npx skills add numen-tech/slopornot@slop-check",""
"96","alchaincyf/tramstop-skill","https://github.com/alchaincyf/tramstop-skill","true","37","7","","MIT","2026-08-25T03:02:34Z","中文真实素材与结构改写；作者实验未独立复现。","","SKILL.md"
"97","hylarucoder/ai-flavor-remover","https://github.com/hylarucoder/ai-flavor-remover","true","1148","73","","","2025-04-02T14:35:03Z","README 内的长 prompt；作者仅报告 Gemini 2.5 Pro 测试。","",""
"98","superchun/no-slop-zh","https://github.com/superchun/no-slop-zh","true","28","2","","MIT","2026-07-31T05:36:17Z","中文保真、术语与命令保护；低 stars。","",""
"99","conorbronsdon/avoid-ai-writing","https://github.com/conorbronsdon/avoid-ai-writing","true","4136","349","","MIT","2026-09-06T03:03:43Z","英文审稿、改写、文件编辑和文风配置。","","SKILL.md"
"100","yzhao062/agent-style","https://github.com/yzhao062/agent-style","true","671","34","","","2026-09-04T01:27:51Z","技术写作规则与评审工具；作者 bench 未复现。","",""
"101","WantongC/journal-adapt-writing-skill","https://github.com/WantongC/journal-adapt-writing-skill","true","770","46","","MIT","2026-05-15T03:18:22Z","从目标期刊语料生成写作规范，属相邻方法。","",""
"102","KKKKhazix/human-writing","https://github.com/KKKKhazix/human-writing","true","3465","268","","MIT","2026-08-11T15:07:45Z","中文创作和改稿，强调具体人物声音。","",""
"103","chengzhi-c/natural-talk","https://github.com/chengzhi-c/natural-talk","true","38","1","","MIT","2026-09-04T12:19:40Z","对话和创作规则，非仅文章后处理。","","SKILL.md"
"104","rephrasyai/rephrasy-skills","https://github.com/rephrasyai/rephrasy-skills","true","4","1","","MIT","2026-08-01T19:04:21Z","供应商发布的内容技能；执行前另审依赖与联网。","",""
"105","ilyautov/humanizer-ru","https://github.com/ilyautov/humanizer-ru","true","286","21","","MIT","2026-09-04T20:44:03Z","俄文版本，非 vladimir-human 同名项目；安装子目录需核实。","",""
"106","JCarterJohnson/vibecoded-design-tells","https://github.com/JCarterJohnson/vibecoded-design-tells","true","481","29","","NOASSERTION","2026-06-24T01:10:58Z","含 unslop-text、unslop-ui、unslop-code 及数据研究。","",""
"107","SadhvikChirunomula/measured-humanizer","https://github.com/SadhvikChirunomula/measured-humanizer","true","2","0","","MIT","2026-08-12T14:16:20Z","校准、测量和改写循环；极低 stars，仅实验线索。","",""
"108","stephenlzc/humanize-mba-text-skill","https://github.com/stephenlzc/humanize-mba-text-skill","true","43","6","","MIT","2026-07-08T10:20:54Z","中文 MBA 论文；规则数据化和扫描工作流。","","SKILL.md"
"109","Daguilar0123/ai-writing-skill-field-guide","https://github.com/Daguilar0123/ai-writing-skill-field-guide","true","1","0","","MIT","2026-07-30T13:41:40Z","第三方 68 项调研与测试资料，不是去味执行 skill。","",""
"110","theclaymethod/unslop","https://github.com/theclaymethod/unslop","true","355","11","","","2026-08-05T21:01:19Z","英文 audit-only 与诊断后重写，两阶段结构。","","SKILL.md"
"111","asavvin-pixel/unslop","https://github.com/asavvin-pixel/unslop","true","63","5","","MIT","2026-07-14T17:34:09Z","英文三层处理及用户文风校准；论文依据未独立核实。","","SKILL.md"
"112","jere-mie/unslop","https://github.com/jere-mie/unslop","true","6","1","","MIT","2026-04-05T13:49:20Z","Zig 字符/标点清理 CLI，不是语义改写 skill。","",""
"113","mdeloughry/unslop","https://github.com/mdeloughry/unslop","true","0","0","","MIT","2026-04-01T18:14:32Z","Obsidian 插件；可选改写会调用外部模型。","",""
"114","cj-vana/unslop-ci","https://github.com/cj-vana/unslop-ci","true","1","0","","NOASSERTION","2026-07-21T16:04:57Z","PR 新增行规则门禁，非通用文章改写。","",""
